,Product Name,Ratings,Price,Availability,Type
0,"realme 9i 5G (Soulful Blue, 128 GB)",4.3,"₹16,999",Yes,Mobiles
1,"realme 9i 5G (Rocking Black, 64 GB)",4.5,"₹13,499",Yes,Mobiles
2,"realme 9i 5G (Metallica Gold, 128 GB)",4.3,"₹16,999",Yes,Mobiles
3,IAIR D41,3.3,"₹1,319",Yes,Mobiles
4,MarQ by Flipkart M70 Shakti,3.8,₹899,Yes,Mobiles
5,"OPPO F19s (Glowing Black, 128 GB)",4.4,"₹16,999",Yes,Mobiles
6,MarQ by Flipkart M70 Shakti,3.8,₹899,Yes,Mobiles
7,IAIR D24,3.8,"₹1,128",Yes,Mobiles
8,"REDMI Note 10T 5G (Chromium White, 64 GB)",4.3,"₹12,999",Yes,Mobiles
9,"Moto G71 5G (Neptune Green, 128 GB)",4.2,"₹16,999",Yes,Mobiles
10,SAMSUNG GT-E1215ZKAINS,4.3,"₹1,299",Yes,Mobiles
11,Nokia 105 PLUS,4.1,"₹1,299",Yes,Mobiles
12,Nokia 105 PLUS,4.1,"₹1,299",Yes,Mobiles
13,LAVA A3 Power,4.1,"₹1,299",Yes,Mobiles
14,"realme 9 5G (Meteor Black, 64 GB)",4.5,"₹15,999",Yes,Mobiles
15,"realme 9 5G (Supersonic Black, 64 GB)",4.5,"₹15,999",Yes,Mobiles
16,"REDMI 10 Prime 2022 (Astral White, 64 GB)",4.2,"₹11,187",Yes,Mobiles
17,"realme 9 5G (Supersonic Blue, 64 GB)",4.5,"₹15,999",Yes,Mobiles
18,"realme 9 5G (Stargaze White, 64 GB)",4.5,"₹15,999",Yes,Mobiles
19,LAVA A3 Power,4.1,"₹1,599",Yes,Mobiles
20,"REDMI K50i 5G (Stealth Black, 256 GB)",4.3,"₹26,999",Yes,Mobiles
21,"Infinix Note 12 (Force Black, 128 GB)",4.2,"₹11,499",Yes,Mobiles
22,"POCO M4 5G (Power Black, 128 GB)",4.1,"₹12,999",Yes,Mobiles
23,"Infinix Note 12 (Jewel Blue, 128 GB)",4.2,"₹11,499",Yes,Mobiles
